"","Arr","Sites","Quantity","Private","Type","Side","Date","UWS_subj","str_seedling","str_reproduction","str_dead","str_decomposition","str_strata","str_colours","spa_topography","spa_ distribution","spa_margins","spa_artifacts","spa_perception","ant_limiting","ant_pruning","ant_structures","ant_planting","ant_litter","Complexity - cumulative","Spatial - cumulative","Management - cumulative","Total wildness - cumulative","Complexity","Spatial","Management","Total wildness","Comments","Issues encountered","ID_site","geometry","fid","code_insee","code_iris","X_code_dep","X_nom_iris","X_type_iris","X_revenus_m","X_pop_tot21","X_pop_fr21","X_pop_etr21","X_pop_imm21","X_area_iris","X_id_row","X_area_TV_b","X_.area_TV_","revenus_me","X_d_iris_GI","X_d_iris_un"
"1","Ivry",1,1,0,"2","Even","August 2022",3,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,6,1,3,10,5,1,3,3,NA,NA,"IVR_1",c(655149.952954276, 6856693.15849632),7402,"94041","940410106","94","Parmentier Nord","H",19260,3442,2862,580,731,197139,826,53382,27,18758,0.386,4.7
"2","Ivry",2,1,0,"2","Even","October 2025",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,5,3.33333333333333,0,1,1.44444444444444,NA,NA,"IVR_2",c(654022.68215798, 6857722.74946701),9982,"94041","940410203","94","Petit Ivry Sud","H",21730,4314,3437,878,1261,359406,1428,105531,29,18758,0.386,4.7
"3","Ivry",3,1,0,"2","Odd","October 2025",1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,1,5,3.33333333333333,0,1,1.44444444444444,NA,NA,"IVR_3",c(653593.830760802, 6857537.13522729),9775,"94041","940410202","94","Petit Ivry Nord","H",18940,2500,1833,667,882,124545,1397,33407,27,18758,0.386,4.7
"4","Ivry",4,1,0,"1","/","October 2025",5,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,5,4,4,13,4.16666666666667,4,4,4.05555555555556,"fun fact : there are many wild Ailanthus altissima ( a tree considered as invasive in France)",NA,"IVR_4",c(656547.073536772, 6857214.02668906),10951,"94041","940410304","94","Ivry Port Sud","H",19210,4801,2805,1997,2001,928074,1616,203727,22,18758,0.386,4.7
"5","Ivry",5,1,0,"1","Odd","July 2025",2,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,5,2,4,11,4.16666666666667,2,4,3.38888888888889,NA,NA,"IVR_5",c(653866.383601871, 6856536.43739392),9552,"94041","940410201","94","Verollot","H",18800,4180,3236,944,1248,406057,1365,174286,43,18758,0.386,4.7
"6","Ivry",6,0,0,"1","Odd","March 2023",1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,3,1,3,7,2.5,1,3,2.16666666666667,NA,NA,"IVR_6",c(655615.776557477, 6857773.71593351),10404,"94041","940410301","94","Ivry Port Nord","H",13390,5074,3686,1388,1932,777228,1530,80279,10,18758,0.386,4.7
"7","Ivry",7,1,0,"2","Odd","October 2025",2,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,3,0,5,8,2.5,0,5,2.5,NA,NA,"IVR_7",c(655393.714664795, 6858211.30339592),10404,"94041","940410301","94","Ivry Port Nord","H",13390,5074,3686,1388,1932,777228,1530,80279,10,18758,0.386,4.7
"8","Ivry",8,0,1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"IVR_8",c(654735.410366239, 6856651.90202101),5994,"94041","940410104","94","Fort","H",18460,2106,1669,437,527,401764,588,244545,61,18758,0.386,4.7
"9","Ivry",9,1,0,"1","/","July 2025",5,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,6,3,3,12,5,3,3,3.66666666666667,NA,NA,"IVR_9",c(655465.365456298, 6856068.04532189),5994,"94041","940410104","94","Fort","H",18460,2106,1669,437,527,401764,588,244545,61,18758,0.386,4.7
"10","Ivry",10,0,0,"2","Odd","July 2025",1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,5,0,2,7,4.16666666666667,0,2,2.05555555555556,NA,NA,"IVR_10",c(654006.659655585, 6856721.01661613),10210,"94041","940410206","94","Plateau Nord","H",18260,2960,2122,839,1092,177845,1480,47685,27,18758,0.386,4.7
"11","Ivry",11,0,0,"1","Odd","August 2022",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,3,5,0.833333333333333,1,3,1.61111111111111,NA,NA,"IVR_11",c(654475.861582521, 6857550.15779146),10242,"94041","940410208","94","Danton Ouest","H",19580,2070,1661,408,571,122769,1495,45575,37,18758,0.386,4.7
"12","Ivry",12,1,0,"2","Odd","October 2025",2,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,5,2,3,10,4.16666666666667,2,3,3.05555555555556,"Spontanneous and planted",NA,"IVR_12",c(654408.807097531, 6858081.08334039),14997,"75113","751135001","75","Gare 1","H",17950,2091,1615,476,673,105004,2387,30841,29,27174,0.368,2.1
"13","Ivry",13,1,0,"2","/","July 2025",3,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,5,4,3,12,4.16666666666667,4,3,3.72222222222222,NA,NA,"IVR_13",c(655656.636680644, 6856010.98323796),8239,"94041","940410109","94","Parmentier Sud","H",NA,1770,1323,447,511,435916,1053,215318,49,18758,0.386,4.7
"14","Ivry",14,1,0,"2","Seine","October 2024",3,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,6,1,4,11,5,1,4,3.33333333333333,"On each side, a vegetated area, but one is taken care of and not really the other (seine)",NA,"IVR_14",c(655609.615281394, 6858023.95094024),10404,"94041","940410301","94","Ivry Port Nord","H",13390,5074,3686,1388,1932,777228,1530,80279,10,18758,0.386,4.7
"15","Ivry",15,0,0,"1","Even","August 2022",1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,4,1,3,8,3.33333333333333,1,3,2.44444444444444,NA,NA,"IVR_15",c(654887.344398893, 6857583.63574159),10270,"94041","940410211","94","Danton Est","H",24560,2730,2032,698,827,193099,1510,55834,29,18758,0.386,4.7
"16","Ivry",16,0,0,"1","/","August 2022",1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,2,2,3,7,1.66666666666667,2,3,2.22222222222222,NA,NA,"IVR_16",c(654695.911163544, 6856296.39140471),2458,"94041","940410101","94","Plateau Sud","H",17190,2462,1874,588,746,236229,268,55203,23,18758,0.386,4.7
"17","Ivry",17,1,0,"2","Seine","October 2024",4,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,6,3,3,12,5,3,3,3.66666666666667,NA,NA,"IVR_17",c(655509.641397137, 6858104.77749642),10404,"94041","940410301","94","Ivry Port Nord","H",13390,5074,3686,1388,1932,777228,1530,80279,10,18758,0.386,4.7
"18","Ivry",18,1,0,"1","Habitations","July 2025",2,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,6,1,3,10,5,1,3,3,"Ailanthus altissima",NA,"IVR_18",c(656613.208223868, 6857415.90441932),10672,"94041","940410302","94","Ivry Port Centre","H",17550,3531,2518,1013,1428,493432,1566,54613,11,18758,0.386,4.7
"19","Ivry",19,0,0,"1","Even","March 2023",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"IVR_19",c(654765.789306036, 6856968.56715031),7867,"94041","940410108","94","Centre Ville Nord","H",19030,2642,2208,435,691,72379,938,7324,10,18758,0.386,4.7
"20","Ivry",20,1,0,"2","/","July 2025",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,5,3.33333333333333,0,1,1.44444444444444,NA,NA,"IVR_20",c(654014.424370863, 6857885.15927352),9775,"94041","940410202","94","Petit Ivry Nord","H",18940,2500,1833,667,882,124545,1397,33407,27,18758,0.386,4.7
"21","Ivry",21,0,0,"1","Odd","August 2022",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"IVR_21",c(655012.076381841, 6856813.2037191),7402,"94041","940410106","94","Parmentier Nord","H",19260,3442,2862,580,731,197139,826,53382,27,18758,0.386,4.7
"22","Neuilly",1,0,0,"1","Even","April 2022",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"NEU_1",c(644968.520701637, 6864207.79629862),4235,"92051","920510102","92","Saint-James Madrid 1","H",62880,2134,1925,209,297,118342,410,52740,45,56445,0.534,1.3
"23","Neuilly",2,1,0,"2","/","October 2025",3,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,5,1,2,8,4.16666666666667,1,2,2.38888888888889,NA,NA,"NEU_2",c(646998.479282827, 6864968.38839125),10730,"92051","920510302","92","Plaine des Sablons 2","H",51610,2109,1890,218,306,68717,1576,8573,12,56445,0.534,1.3
"24","Neuilly",3,0,1,"1","(Odd)","October 2025",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,4,0.833333333333333,1,2,1.27777777777778,NA,NA,"NEU_3",c(645518.122649118, 6865321.29550982),11075,"92051","920510308","92","Plaine des Sablons 8","H",50580,2061,1819,241,325,89738,1653,7181,8,56445,0.534,1.3
"25","Neuilly",4,1,0,"2","(Odd)","June 2014",2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,3,0,3,6,2.5,0,3,1.83333333333333,NA,NA,"NEU_4",c(645872.402352758, 6865563.73128379),11247,"92051","920510401","92","Parc de Neuilly 1","H",51700,2003,1806,197,288,109566,1680,49806,45,56445,0.534,1.3
"26","Neuilly",5,0,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"NEU_5",c(646922.098311915, 6864716.65905721),10730,"92051","920510302","92","Plaine des Sablons 2","H",51610,2109,1890,218,306,68717,1576,8573,12,56445,0.534,1.3
"27","Neuilly",6,1,0,"2","/","October 2025",3,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,5,0,2,7,4.16666666666667,0,2,2.05555555555556,NA,NA,"NEU_6",c(645631.623874443, 6864756.43160136),6415,"92051","920510104","92","Saint-James Madrid 3","H",62260,2522,2203,319,411,191687,647,58842,31,56445,0.534,1.3
"28","Neuilly",7,1,0,"2","/","July 2024",3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,6,0,2,8,5,0,2,2.33333333333333,NA,NA,"NEU_7",c(645809.722708582, 6865840.1013937),11247,"92051","920510401","92","Parc de Neuilly 1","H",51700,2003,1806,197,288,109566,1680,49806,45,56445,0.534,1.3
"29","Neuilly",8,1,0,"2","/","April 2023",2,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,5,1,3,9,4.16666666666667,1,3,2.72222222222222,NA,NA,"NEU_8",c(646703.859220618, 6866504.58235778),11692,"92051","920510405","92","Parc de Neuilly 5","H",49180,3076,2783,293,490,219912,1764,104324,47,56445,0.534,1.3
"30","Neuilly",9,1,0,"2","(Even)","October 2025",2,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,5,0,2,7,4.16666666666667,0,2,2.05555555555556,NA,NA,"NEU_9",c(646374.303193201, 6864963.01485329),11021,"92051","920510305","92","Plaine des Sablons 5","H",58030,2598,2319,279,385,129656,1636,25692,20,56445,0.534,1.3
